n,threads,run,time_ms
8800,1,75,3040667093.0
8800,1,79,3301453773.0
8800,1,83,2852600191.0
8800,1,87,3292474026.0
8800,1,91,3027636226.0
8800,1,95,3326674751.0
8800,1,99,3299708521.0
8800,1,103,3290023935.0
8800,1,107,3310503362.0
8800,1,111,3291342326.0
8800,1,115,3297688163.0
8800,1,119,3032644071.0
5600,1,3,725760262.0
5600,1,7,728003727.0
5600,1,11,730783780.0
5600,1,15,733148537.0
5600,1,19,726327166.0
5600,1,23,733388482.0
5600,1,27,725475706.0
5600,1,31,758478041.0
5600,1,35,733562200.0
5600,1,39,723957505.0
5600,1,43,722794563.0
5600,1,47,720696822.0
5600,1,51,775842276.0
5600,1,55,725978482.0
5600,1,59,751497750.0
5600,1,63,724036907.0
5600,1,67,766437095.0
5600,1,71,724911097.0
5600,1,75,720298464.0
5600,1,79,732559488.0
5600,1,83,726007098.0
5600,1,87,727249797.0
5600,1,91,728537438.0
5600,1,95,723437152.0
5600,1,99,721090016.0
5600,1,103,757493733.0
5600,1,107,725864220.0
5600,1,111,729365560.0
5600,1,115,731398052.0
5600,1,119,737652450.0
8000,16,3,360593962.0
8000,16,7,403910623.0
8000,16,11,404836242.0
8000,16,15,413508356.0
8000,16,19,415486510.0
8000,16,23,380141370.0
8000,16,27,408415360.0
8000,16,31,412347648.0
8000,16,35,406144917.0
8000,16,39,412827855.0
8000,16,43,415446992.0
8000,16,47,401620969.0
8000,16,51,394878194.0
8000,16,55,416134046.0
8000,16,59,395095182.0
8000,16,63,390797045.0
8000,16,67,405265116.0
8000,16,71,415246822.0
8000,16,75,389342987.0
8000,16,79,392743420.0
8000,16,83,399721722.0
8000,16,87,402506923.0
8000,16,91,371328864.0
8000,16,95,433549185.0
8000,16,99,411131460.0
8000,16,103,377733909.0
8000,16,107,404825292.0
8000,16,111,392159726.0
8000,16,115,394323127.0
8000,16,119,447082950.0
8800,2,3,1418514577.0
8800,2,7,1435219290.0
8800,2,11,1418125101.0
8800,2,15,1416837339.0
8800,2,19,1416869095.0
8800,2,23,1479131442.0
8800,2,27,1422502096.0
8800,2,31,1422279263.0
8800,2,35,1417465596.0
8800,2,39,1422730432.0
8800,2,43,1444940976.0
8800,2,47,1451244584.0
8800,2,51,1463362201.0
8800,2,55,1420660079.0
8800,2,59,1421797032.0
8800,2,63,1419370597.0
8800,2,67,1420852927.0
8800,2,71,1421567410.0
8800,2,75,1424386473.0
8800,2,79,1421889293.0
2400,8,3,6942437.0
2400,8,7,7102607.0
2400,8,11,7282411.0
2400,8,15,7114675.0
2400,8,19,7352151.0
2400,8,23,7161705.0
2400,8,27,7078309.0
2400,8,31,6873748.0
2400,8,35,7305701.0
2400,8,39,7123736.0
2400,8,43,7341299.0
2400,8,47,7198255.0
2400,8,51,7099226.0
2400,8,55,6848274.0
2400,8,59,7178709.0
2400,8,63,7290326.0
2400,8,67,7257987.0
2400,8,71,7249530.0
2400,8,75,7126282.0
2400,8,79,7351906.0
2400,8,83,6524035.0
2400,8,87,7118720.0
2400,8,91,7020437.0
2400,8,95,7138694.0
2400,8,99,6995329.0
2400,8,103,7177398.0
2400,8,107,6854170.0
2400,8,111,6992675.0
2400,8,115,7121343.0
2400,8,119,7166903.0
5600,4,3,177117266.0
5600,4,7,181746491.0
5600,4,11,184473361.0
5600,4,15,179870647.0
5600,4,19,179308078.0
5600,4,23,179911461.0
5600,4,27,179691337.0
5600,4,31,179987188.0
5600,4,35,179895770.0
5600,4,39,180096667.0
5600,4,43,179881168.0
5600,4,47,185157874.0
5600,4,51,184449288.0
5600,4,55,180221756.0
5600,4,59,182757814.0
5600,4,63,180846753.0
5600,4,67,180637032.0
5600,4,71,179851623.0
5600,4,75,179146350.0
5600,4,79,180058337.0
5600,4,83,181671498.0
5600,4,87,180006789.0
5600,4,91,179993172.0
5600,4,95,185161131.0
5600,4,99,180182180.0
5600,4,103,180478450.0
5600,4,107,180895968.0
5600,4,111,181271837.0
5600,4,115,181969925.0
5600,4,119,179544174.0
3200,2,3,58223888.0
3200,2,7,58698155.0
3200,2,11,58379113.0
3200,2,15,58124636.0
3200,2,19,57869943.0
3200,2,23,58260670.0
3200,2,27,58013539.0
3200,2,31,58165840.0
3200,2,35,58703450.0
3200,2,39,57849835.0
3200,2,43,58129955.0
3200,2,47,58146754.0
3200,2,51,58842933.0
3200,2,55,58225266.0
3200,2,59,58767590.0
3200,2,63,58066761.0
3200,2,67,57890197.0
3200,2,71,58472278.0
3200,2,75,57938875.0
3200,2,79,58158519.0
3200,2,83,58719946.0
3200,2,87,57994961.0
3200,2,91,57970845.0
3200,2,95,57761770.0
3200,2,99,58165797.0
3200,2,103,58574481.0
3200,2,107,58215807.0
3200,2,111,58074687.0
3200,2,115,58632193.0
3200,2,119,57961287.0
800,8,3,69242.0
800,8,7,67041.0
800,8,11,70139.0
800,8,15,67779.0
800,8,19,71012.0
800,8,23,69976.0
800,8,27,67458.0
800,8,31,78554.0
800,8,35,73701.0
800,8,39,66495.0
800,8,43,71926.0
800,8,47,70539.0
800,8,51,74471.0
800,8,55,68591.0
800,8,59,68196.0
800,8,63,67461.0
800,8,67,71368.0
800,8,71,61657.0
800,8,75,67098.0
800,8,79,70150.0
800,8,83,68917.0
800,8,87,70255.0
800,8,91,66820.0
800,8,95,70357.0
800,8,99,84633.0
800,8,103,79466.0
800,8,107,70591.0
800,8,111,67160.0
800,8,115,70724.0
800,8,119,75051.0
5600,20,3,123187841.0
5600,20,7,123035697.0
5600,20,11,119927619.0
5600,20,15,127100586.0
5600,20,19,124461383.0
5600,20,23,124179823.0
5600,20,27,123709758.0
5600,20,31,121097838.0
5600,20,35,124942542.0
5600,20,39,126954523.0
5600,20,43,123327349.0
5600,20,47,123083273.0
5600,20,51,121119745.0
5600,20,55,122386485.0
5600,20,59,120704986.0
5600,20,63,123901741.0
5600,20,67,121457376.0
5600,20,71,116959188.0
5600,20,75,127806335.0
5600,20,79,115577585.0
5600,20,83,120740581.0
5600,20,87,122199855.0
5600,20,91,118435349.0
5600,20,95,123750152.0
5600,20,99,123239332.0
5600,20,103,120338945.0
5600,20,107,115502536.0
5600,20,111,122644465.0
5600,20,115,119414807.0
5600,20,119,122477407.0
3200,1,3,225359742.0
3200,1,7,224701670.0
3200,1,11,224620674.0
3200,1,15,226523533.0
3200,1,19,225967022.0
3200,1,23,224233665.0
3200,1,27,224265239.0
3200,1,31,226037981.0
3200,1,35,225228093.0
3200,1,39,223947623.0
3200,1,43,224914814.0
3200,1,47,227528519.0
3200,1,51,223314021.0
3200,1,55,225350216.0
3200,1,59,226316113.0
3200,1,63,225881810.0
3200,1,67,226301044.0
3200,1,71,225155294.0
3200,1,75,225114606.0
3200,1,79,225515024.0
3200,1,83,228524642.0
3200,1,87,224609292.0
3200,1,91,225107207.0
3200,1,95,222457038.0
3200,1,99,226034645.0
3200,1,103,223621988.0
3200,1,107,222538644.0
3200,1,111,222069152.0
3200,1,115,223450655.0
3200,1,119,224002277.0
3200,20,3,21085549.0
3200,20,7,20679376.0
3200,20,11,20048450.0
3200,20,15,20648501.0
3200,20,19,20464152.0
3200,20,23,20573038.0
3200,20,27,19923656.0
3200,20,31,21085549.0
3200,20,35,20260676.0
3200,20,39,19671957.0
3200,20,43,21458811.0
3200,20,47,19847843.0
3200,20,51,21057645.0
3200,20,55,20590452.0
3200,20,59,20122412.0
3200,20,63,20122446.0
3200,20,67,20573062.0
3200,20,71,21828783.0
3200,20,75,20219172.0
3200,20,79,20469775.0
3200,20,83,20199867.0
3200,20,87,20706810.0
3200,20,91,21319093.0
3200,20,95,20361333.0
3200,20,99,20061385.0
3200,20,103,20886136.0
3200,20,107,20391120.0
3200,20,111,20641288.0
3200,20,115,20502705.0
3200,20,119,20096363.0
6400,16,3,200371255.0
6400,16,7,220367944.0
6400,16,11,224196835.0
6400,16,15,217040250.0
6400,16,19,246663537.0
6400,16,23,238687458.0
6400,16,27,247629734.0
6400,16,31,226542379.0
